text,label
"IN THE HIGH COURT OF KARNATAKA AT BENGALURU",Preamble Zone
"DATED THIS THE 20TH DAY OF MAY, 2025",Preamble Zone
"PRESENT THE HON'BLE MR JUSTICE V KAMESWAR RAO AND THE HON'BLE MR JUSTICE S RACHAIAH",Preamble Zone
"BETWEEN M/S LARSEN AND TOUBRO LIMITED... APPELLANT",Preamble Zone
"THIS COMAP IS FILED UNDER SECTION 13 (1A) OF THE COMMERCIAL COURTS ACT, 2015 READ WITH SECTION 37 OF THE ARBITRATION AND CONCILIATION ACT, 1996",Preamble Zone
"DATED THIS THE 23RD DAY OF JANUARY, 2026",Preamble Zone
"THE HON'BLE MR. VIBHU BAKHRU, CHIEF JUSTICE AND THE HON'BLE MR. JUSTICE CM JOSHI",Preamble Zone
"ANI TECHNOLOGIES PRIVATE LIMITED REGD. UNDER THE COMPANIES ACT, 1956",Preamble Zone
"THIS WRIT APPEAL FILED UNDER SECTION 4 OF THE KARNATAKA HIGH COURT ACT PRAYING TO SET ASIDE THE FINAL JUDGMENT AND ORDER DATED 02.04.2025",Preamble Zone
"The subject matter of the appeal is primarily a contract entered between the parties for construction of three elevated Metro Stations at Yeshwanthpur, Soap Factory and Mahalaxmi Stations.",Background Zone
"The respondent herein accepted the tender vide Letter of Acceptance dated 05.06.2009.",Background Zone
"The execution of the project is governed by various contracts entered into between the parties including the General Conditions of Contract (in short 'GCC') and the Special Conditions of Contract.",Background Zone
"The submission of Sri. Anirudh Krishnan, learned counsel for the appellant is primarily that, (i) though there is an exclusion clause, the same is void",Background Zone
"On the other hand, Sri. Aravind Kamath, the learned Additional Solicitor General of India for the respondent would justify the impugned order passed by the learned Sessions Judge",Background Zone
"The controversy in the present appeal relates to the right to provide bike taxi services.",Background Zone
"Whereas the appellants claim that motorcycle owners are entitled to render bike taxi services, the State authorities dispute this claim.",Background Zone
"Uber holds a license under the Karnataka On-Demand Transport Technology Aggregator Rules 2016 to operate as an aggregator",Background Zone
"Ola operates a car taxi service and has expanded its services to bike taxis as well.",Background Zone
"It was first contended that motor vehicles fall within the definition of the term 'motorcabs' and therefore, the State Government cannot decline to register a motorcycle as a transport vehicle.",Background Zone
"Shri Shashi Kiran Shetty, learned Advocate General, advanced contentions on behalf of the State.",Background Zone
"Having heard the learned counsel for the parties and perused the record, the only issue which arises for consideration is, whether the learned Sessions Judge is justified in setting aside the arbitral award",Observation Zone
"The learned Sessions Judge is right in stating that the decision of the Hon'ble Supreme Court in paragraph No.15 do not appear to be ratio decidendi of the decision in Sarvesh Chopra",Observation Zone
"We agree with the conclusion of the learned Sessions Judge to hold that the Hon'ble Supreme Court has left the question of law open.",Observation Zone
"In view of our discussion above, we are of the view that the challenge by the appellant to the order dated 28.10.2022 passed by the learned Sessions Judge in Com.A.S.No.141/2018 is without merit.",Observation Zone
"We are in agreement with such a conclusion of the Sessions Judge.",Observation Zone
"In view of the above, the principal questions required to be addressed are whether a motor cycle can be registered and used as a transport vehicle and a contract carriage",Observation Zone
"It is apparent from the definition of the term contract carriage that it refers to a motor vehicle, which carries a passenger or passengers for hire or reward under a contract",Observation Zone
"Thus, the expressions 'maxicab' and 'motorcab' cover vehicles with the entire range of capacities for carrying passengers.",Observation Zone
"There is no dispute that a motorcycle is also used for carrying a passenger. It has the capacity to carry two persons, including the rider.",Observation Zone
"In view of the above, we reject the contention that the motorcycle cannot be used as a 'contract carriage'.",Observation Zone
"We also reject the contention that a motorcycle falls outside the definitions of a 'transport vehicle' as defined under Section 2(47) of the MV Act",Observation Zone
"It is equally well settled that any restriction under Article 19(6) of the Constitution must be by law.",Observation Zone
"In our view, a blanket prohibition on issuing contract carriage permits to motorcycles cannot be considered as a reasonable restriction within the meaning of Article 19(6) of the Constitution of India for several reasons.",Observation Zone
"If the Contractor suffers delay from failure on the part of the Employer to grant right of access to, or possession of the Site, the Contractor shall give notice to the Engineer",Direction Zone
"The Engineer shall proceed to determine any extension of time to which the Contractor is entitled and shall notify the Contractor accordingly.",Direction Zone
"In case of delay on the part of the Contractor, the Contractor shall be liable to pay liquidated damages and any other compensation for the damages suffered by the Employer",Direction Zone
"We direct the State Government to consider such applications for the registration of motorcycles as transport vehicles and for the grant of permits to operate them as contract carriages.",Direction Zone
"The Regional Transport Authority may also impose such conditions as it considers necessary, as attached to the said permits, in accordance with law",Direction Zone
"The concerned authorities shall consider the pending applications of the aggregators and pass appropriate orders.",Direction Zone
"The aggregators are also at liberty to file fresh applications for licences.",Direction Zone
"In the event such applications are filed, they will be considered in accordance with law and the observations of this Court in this decision.",Direction Zone
"The contract period was for 22 months.",Timeline Zone
"First extension of time was from 05.04.2011 to 30.11.2011 without liquidated damages and with price variation.",Timeline Zone
"The second extension of time granted was up to 30.04.2013 without liquidated damages",Timeline Zone
"The fourth extension time was up to 31.01.2014 without penalty",Timeline Zone
"An application made under sub-clause (4.1) shall be decided by the Competent Authority within a period of ninety (90) days from the date of such application in Form I.",Timeline Zone
"The Competent Authority shall direct the applicant to pay the appropriate licence fee and security deposit within a period of thirty (30) days.",Timeline Zone
"A licence granted under these rules shall be valid for a period of five years from the date of grant.",Timeline Zone
"A licence granted under these rules may be renewed for a period of five years on an application made not less than sixty days before the date of its expiry",Timeline Zone
"Arbitration suit challenging award with regard to other findings and award on other claims and counter claims is dismissed.",Operative Zone
"The appeal is dismissed.",Operative Zone
"No costs.",Operative Zone
"The impugned order is set aside, and the appeals are allowed in the aforesaid terms.",Operative Zone
"The respondent authorities are hereby ordered to immediately reinstate the petitioner.",Direction Zone
"The court orders the defendant to pay the damages.",Direction Zone
"It is the case of the plaintiff that no prior hearing was provided before the termination.",Background Zone
"The plaintiff argues that the contract was breached.",Background Zone
"IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION",Preamble Zone
"BEFORE THE SUPREME COURT OF INDIA",Preamble Zone
"The respondent is hereby directed to reconsider the petitioner's application afresh.",Direction Zone
"The State shall constitute a committee to oversee the implementation of the aggregator guidelines.",Direction Zone
"The respondent authorities are restrained from taking any coercive action against the petitioner.",Direction Zone
"The penalty amount of Rs. 50,000/- deposited by the petitioner shall be refunded.",Direction Zone
"The committee shall submit its final report on or before 31st March 2026.",Timeline Zone
